TREE_NUMBER, SAMPLE_SIZE, FEATURES_PER_TREE, MIN_SAMPLES_PER_NODE, NODE_LIMIT, ALLOW_REPEAT_SAMPLES, TP , TN, FP, FN, err     , acc     , pre     , rec     , F1
         15,         100,               100,                    5,         50,                    0, 111, 15, 23,  3, 0.171053, 0.828947, 0.828358, 0.973684, 0.895161
         15,         100,               100,                    5,         50,                    1, 111, 17, 21,  3, 0.157895, 0.842105, 0.840909, 0.973684, 0.902439
         15,         100,               100,                    5,         50,                    1, 109, 18, 20,  5, 0.164474, 0.835526, 0.844961, 0.956140, 0.897119
         15,         100,                 1,                  100,         50,                    1, 100, 14, 24, 14, 0.250000, 0.750000, 0.806452, 0.877193, 0.840336
         15,         100,                 1,                  100,         50,                    1, 107,  2, 36,  7, 0.282895, 0.717105, 0.748252, 0.938596, 0.832685
         15,         100,                 1,                   99,         50,                    1, 114,  2, 36,  0, 0.236842, 0.763158, 0.760000, 1.000000, 0.863636
         15,         100,                 1,                   99,         50,                    1, 104, 11, 27, 10, 0.243421, 0.756579, 0.793893, 0.912281, 0.848980
         15,         100,                 1,                   99,         50,                    1,  93,  6, 32, 21, 0.348684, 0.651316, 0.744000, 0.815789, 0.778243
         15,         100,                 1,                   99,         50,                    1,  73, 13, 25, 41, 0.434211, 0.565789, 0.744898, 0.640351, 0.688679
         15,         100,                 1,                   99,         50,                    1, 112,  2, 36,  2, 0.250000, 0.750000, 0.756757, 0.982456, 0.854962
         15,         100,                 1,                   99,         50,                    0, 110,  0, 38,  4, 0.276316, 0.723684, 0.743243, 0.964912, 0.839695
         15,         100,                 1,                   99,         50,                    0,  58, 21, 17, 56, 0.480263, 0.519737, 0.773333, 0.508772, 0.613757
        100,         100,                 1,                   99,         50,                    0, 114,  0, 38,  0, 0.250000, 0.750000, 0.750000, 1.000000, 0.857143
        100,         100,                 1,                   99,         50,                    0, 114,  0, 38,  0, 0.250000, 0.750000, 0.750000, 1.000000, 0.857143
        100,         100,                 1,                   99,         50,                    0, 114,  0, 38,  0, 0.250000, 0.750000, 0.750000, 1.000000, 0.857143
        100,         100,                 1,                  101,         50,                    0, 106,  9, 29,  8, 0.243421, 0.756579, 0.785185, 0.929825, 0.851406
        100,         100,                 1,                  101,         50,                    0, 112,  3, 35,  2, 0.243421, 0.756579, 0.761905, 0.982456, 0.858238
        100,         200,                 1,                  101,         50,                    0, 114,  0, 38,  0, 0.250000, 0.750000, 0.750000, 1.000000, 0.857143
        200,         100,                 1,                  101,         50,                    0, 114,  3, 35,  0, 0.230263, 0.769737, 0.765101, 1.000000, 0.866920
        200,         200,                 1,                  201,         50,                    0, 109,  6, 32,  5, 0.243421, 0.756579, 0.773050, 0.956140, 0.854902
        200,         200,                 1,                  201,         50,                    0, 113,  7, 31,  1, 0.210526, 0.789474, 0.784722, 0.991228, 0.875969
         50,         600,                 1,                  601,         50,                    0,  84, 18, 20, 30, 0.328947, 0.671053, 0.807692, 0.736842, 0.770642
        100,         600,                 1,                  601,         50,                    0,  95, 14, 24, 19, 0.282895, 0.717105, 0.798319, 0.833333, 0.815451
        100,         600,                 1,                  599,         50,                    0, 100,  5, 33, 14, 0.309211, 0.690789, 0.751880, 0.877193, 0.809717
        100,         600,                 3,                  599,         50,                    0, 107, 16, 22,  7, 0.190789, 0.809211, 0.829457, 0.938596, 0.880658
        100,         600,                 3,                  599,         50,                    1, 114,  6, 32,  0, 0.210526, 0.789474, 0.780822, 1.000000, 0.876923
        100,         600,                 3,                  599,         50,                    1, 112,  9, 29,  2, 0.203947, 0.796053, 0.794326, 0.982456, 0.878431
        100,         600,                 3,                  599,         50,                    0, 112,  9, 29,  2, 0.203947, 0.796053, 0.794326, 0.982456, 0.878431
        200,         600,                 3,                  599,         50,                    0, 112, 15, 23,  2, 0.164474, 0.835526, 0.829630, 0.982456, 0.899598
        200,         600,                 5,                  599,         50,                    0, 107, 17, 21,  7, 0.184211, 0.815789, 0.835938, 0.938596, 0.884298
        200,         600,                 5,                  599,         50,                    0, 107, 18, 20,  7, 0.177632, 0.822368, 0.842520, 0.938596, 0.887967
        200,         600,                 5,                  601,         50,                    0,  83, 19, 19, 31, 0.328947, 0.671053, 0.813725, 0.728070, 0.768519
113,297,97,47,50,0, 113, 21,17,1, 0.118421, 0.881579, 0.869231, 0.991228, 0.926230
22,297,122,59,50,0,107,24,14,7,0.138158,0.861842,0.884298,0.938596,0.910638
22,297,122,59,50,0,106,20,18,8,0.171053,0.828947,0.854839,0.929825,0.890756
22,297,122,59,50,0,111,21,17,3,0.131579,0.868421,0.867188,0.973684,0.917355
22,297,122,59,50,0,111,23,15,3,0.118421,0.881579,0.880952,0.973684,0.925000
22,297,122,59,50,0,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
22,297,122,59,50,0,110,20,18,4,0.144737,0.855263,0.859375,0.964912,0.909091
22,297,122,59,50,0,110,21,17,4,0.138158,0.861842,0.866142,0.964912,0.912863
22,297,122,59,50,0,108,23,15,6,0.138158,0.861842,0.878049,0.947368,0.911392
22,297,122,59,50,0,111,23,15,3,0.118421,0.881579,0.880952,0.973684,0.925000
22,297,122,59,50,0,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
22,297,122,59,50,0,109,26,12,5,0.111842,0.888158,0.900826,0.956140,0.927660
212,103,109,20,50,0,111,17,21,3,0.157895,0.842105,0.840909,0.973684,0.902439
212,103,109,20,50,0,111,17,21,3,0.157895,0.842105,0.840909,0.973684,0.902439
212,103,109,20,50,0,110,17,21,4,0.164474,0.835526,0.839695,0.964912,0.897959
212,103,109,20,50,0,111,17,21,3,0.157895,0.842105,0.840909,0.973684,0.902439
212,103,109,20,50,0,111,18,20,3,0.151316,0.848684,0.847328,0.973684,0.906122
212,103,109,20,50,0,112,17,21,2,0.151316,0.848684,0.842105,0.982456,0.906883
212,103,109,20,50,0,112,17,21,2,0.151316,0.848684,0.842105,0.982456,0.906883
212,103,109,20,50,0,112,18,20,2,0.144737,0.855263,0.848485,0.982456,0.910569
212,103,109,20,50,0,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
212,103,109,20,50,0,111,16,22,3,0.164474,0.835526,0.834586,0.973684,0.898785
212,103,109,20,50,0,112,18,20,2,0.144737,0.855263,0.848485,0.982456,0.910569
24,451,113,90,50,0,107,24,14,7,0.138158,0.861842,0.884298,0.938596,0.910638
24,451,113,90,50,0,106,20,18,8,0.171053,0.828947,0.854839,0.929825,0.890756
24,451,113,90,50,0,106,23,15,8,0.151316,0.848684,0.876033,0.929825,0.902128
24,451,113,90,50,0,105,25,13,9,0.144737,0.855263,0.889831,0.921053,0.905172
24,451,113,90,50,0,108,24,14,6,0.131579,0.868421,0.885246,0.947368,0.915254
24,451,113,90,50,0,108,21,17,6,0.151316,0.848684,0.864000,0.947368,0.903766
24,451,113,90,50,0,108,23,15,6,0.138158,0.861842,0.878049,0.947368,0.911392
24,451,113,90,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
24,451,113,90,50,0,108,24,14,6,0.131579,0.868421,0.885246,0.947368,0.915254
24,451,113,90,50,0,106,23,15,8,0.151316,0.848684,0.876033,0.929825,0.902128
24,451,113,90,50,0,105,26,12,9,0.138158,0.861842,0.897436,0.921053,0.909091
106,301,109,60,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
106,301,109,60,50,0,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
106,301,109,60,50,0,111,19,19,3,0.144737,0.855263,0.853846,0.973684,0.909836
106,301,109,60,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
106,301,109,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
106,301,109,60,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
106,301,109,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
106,301,109,60,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
106,301,109,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
106,301,109,60,50,0,109,22,16,5,0.138158,0.861842,0.872000,0.956140,0.912134
106,301,109,60,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
33,363,115,72,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
33,363,115,72,50,0,113,22,16,1,0.111842,0.888158,0.875969,0.991228,0.930041
33,363,115,72,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
33,363,115,72,50,0,108,19,19,6,0.164474,0.835526,0.850394,0.947368,0.896266
33,363,115,72,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
33,363,115,72,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
33,363,115,72,50,0,110,23,15,4,0.125000,0.875000,0.880000,0.964912,0.920502
33,363,115,72,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
33,363,115,72,50,0,108,18,20,6,0.171053,0.828947,0.843750,0.947368,0.892562
33,363,115,72,50,0,104,22,16,10,0.171053,0.828947,0.866667,0.912281,0.888889
33,363,115,72,50,0,113,21,17,1,0.118421,0.881579,0.869231,0.991228,0.926230
89,196,105,39,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,0,112,19,19,2,0.138158,0.861842,0.854962,0.982456,0.914286
89,196,105,39,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
89,196,105,39,50,0,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
89,196,105,39,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,0,111,20,18,3,0.138158,0.861842,0.860465,0.973684,0.913580
89,196,105,39,50,0,110,19,19,4,0.151316,0.848684,0.852713,0.964912,0.905350
89,196,105,39,50,0,110,18,20,4,0.157895,0.842105,0.846154,0.964912,0.901639
89,196,105,39,50,0,111,18,20,3,0.151316,0.848684,0.847328,0.973684,0.906122
89,196,105,39,50,0,112,20,18,2,0.131579,0.868421,0.861538,0.982456,0.918033
89,196,105,39,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
26,322,84,64,50,0,109,23,15,5,0.131579,0.868421,0.879032,0.956140,0.915966
26,322,84,64,50,0,109,20,18,5,0.151316,0.848684,0.858268,0.956140,0.904564
26,322,84,64,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
26,322,84,64,50,0,107,20,18,7,0.164474,0.835526,0.856000,0.938596,0.895397
26,322,84,64,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
26,322,84,64,50,0,110,19,19,4,0.151316,0.848684,0.852713,0.964912,0.905350
26,322,84,64,50,0,104,24,14,10,0.157895,0.842105,0.881356,0.912281,0.896552
26,322,84,64,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
26,322,84,64,50,0,108,23,15,6,0.138158,0.861842,0.878049,0.947368,0.911392
26,322,84,64,50,0,108,20,18,6,0.157895,0.842105,0.857143,0.947368,0.900000
26,322,84,64,50,0,106,21,17,8,0.164474,0.835526,0.861789,0.929825,0.894515
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
20,300,125,60,50,0,104,22,16,10,0.171053,0.828947,0.866667,0.912281,0.888889
20,300,125,60,50,0,112,21,17,2,0.125000,0.875000,0.868217,0.982456,0.921811
20,300,125,60,50,0,110,24,14,4,0.118421,0.881579,0.887097,0.964912,0.924370
20,300,125,60,50,0,106,24,14,8,0.144737,0.855263,0.883333,0.929825,0.905983
20,300,125,60,50,0,106,22,16,8,0.157895,0.842105,0.868852,0.929825,0.898305
20,300,125,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
20,300,125,60,50,0,106,23,15,8,0.151316,0.848684,0.876033,0.929825,0.902128
20,300,125,60,50,0,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
20,300,125,60,50,0,105,23,15,9,0.157895,0.842105,0.875000,0.921053,0.897436
20,300,125,60,50,0,109,25,13,5,0.118421,0.881579,0.893443,0.956140,0.923729
20,300,125,60,50,0,107,22,16,7,0.151316,0.848684,0.869919,0.938596,0.902954
20,300,125,60,50,0,108,22,16,6,0.144737,0.855263,0.870968,0.947368,0.907563
20,300,125,60,50,0,108,21,17,6,0.151316,0.848684,0.864000,0.947368,0.903766
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
20,300,125,60,50,0,109,21,17,5,0.144737,0.855263,0.865079,0.956140,0.908333
20,300,125,60,50,0,112,21,17,2,0.125000,0.875000,0.868217,0.982456,0.921811
20,300,125,60,50,0,105,23,15,9,0.157895,0.842105,0.875000,0.921053,0.897436
20,300,125,60,50,0,110,22,16,4,0.131579,0.868421,0.873016,0.964912,0.916667
20,300,125,60,50,0,105,23,15,9,0.157895,0.842105,0.875000,0.921053,0.897436
20,300,125,60,50,0,107,23,15,7,0.144737,0.855263,0.877049,0.938596,0.906780
22,297,122,59,50,0,110,23,15,4,0.125000,0.875000,0.880000,0.964912,0.920502
3,100,100,100,100,0,95,18,20,19,0.256579,0.743421,0.826087,0.833333,0.829694
3,100,100,100,100,0,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
3,603,750,604,50,0,89,22,16,25,0.269737,0.730263,0.847619,0.780702,0.812785
20,603,750,604,50,0,89,22,16,25,0.269737,0.730263,0.847619,0.780702,0.812785
20,603,750,604,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
20,603,750,604,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
20,603,750,604,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
22,122,297,59,50,0,0,38,0,114,0.750000,0.250000,-1.#IND00,0.000000,-1.#IND00
22,122,297,59,50,0,107,21,17,7,0.157895,0.842105,0.862903,0.938596,0.899160
22,122,297,59,50,0,109,20,18,5,0.151316,0.848684,0.858268,0.956140,0.904564
22,122,297,59,50,0,109,18,20,5,0.164474,0.835526,0.844961,0.956140,0.897119
22,122,297,59,50,0,106,20,18,8,0.171053,0.828947,0.854839,0.929825,0.890756
22,122,297,59,50,0,111,18,20,3,0.151316,0.848684,0.847328,0.973684,0.906122
22,122,297,59,50,0,113,17,21,1,0.144737,0.855263,0.843284,0.991228,0.911290
22,122,297,59,50,0,110,16,22,4,0.171053,0.828947,0.833333,0.964912,0.894309
22,122,297,59,50,0,112,19,19,2,0.138158,0.861842,0.854962,0.982456,0.914286
22,122,297,59,50,0,109,19,19,5,0.157895,0.842105,0.851563,0.956140,0.900826
22,122,297,59,50,0,111,22,16,3,0.125000,0.875000,0.874016,0.973684,0.921162
